ID,Shloka,Translation,Time and Era,Celestial Objects/Mechanics,Ancient Astronomical Observations,Modern Scientific Understanding,Correlation Concepts,Cosmic Insights,NEP Correlation
11,"परन्तु लोहापममण्डलेना-
समन्ततः खेचरगोलकानाम् ।
आकर्षणं चुम्बकवतु सलोह -
सूत्रेण तच्चाचयरूपमेत्र ॥ २६५ ॥","However, by means of a spherical magnet made of iron, the celestial globes in all directions are drawn, just as a magnet attracts iron filings. Here, it is the same principle in action.",4th/5th Century CE,"Magnetic Forces, Celestial Globes",Concept of Magnet Attracting Celestial Globes,Magnetic Forces in Astronomy,Concept of Magnetic Attraction,Magnet's Role in Celestial Motion,his shloka correlates with NEP 2023's emphasis on exploring magnetic fields and their effects on materials in science education.
12,"""कचोर्ध्व गलति महानधःस्थे- नाकर्षणां कर्त्तुमशक्यमस्य । 
अतस्त्वदुक्त्याऽघर खेट गोल- स्याकर्षणं चुम्बकवत् सदाऽस्तु ॥ २६४ ॥""","If the Earth were to move upside down in space, it would be impossible to attract objects towards it. Therefore, as you mentioned, let the Earth be like a magnetic sphere, always attracting.",4th/5th Century CE,"Earth, gravity, magnetism",Earth's gravitational pull,Concept of Earth's magnetism and gravitational attraction,Magnetic Earth hypothesis,Explanation for Earth's ability to attract objects,This shloka correlates with NEP 2023's emphasis on understanding gravitational and magnetic forces in physics education.
13,"सच्चुम्बकोऽघःस्थितलेाहजातं खतेा यथाकर्षतीह तद्वत् । 
आकर्षयत्यूर्ध्वगलेाहजात- मिति प्रसिद्धं हि यतेा नराणाम् ॥ २९३ ॥","Just as a magnet placed below attracts an iron piece, in the same way, it is widely known that the Earth attracts objects upwards due to its magnetic property",4th/5th Century CE,"Earth's magnetism, attraction",Earth's magnetic attraction,Understanding Earth's magnetic properties,Magnetic Earth's impact on objects,Explanation for objects being attracted upwards on Earth, This shloka correlates with NEP 2023's emphasis on teaching fundamental principles of magnetism in science education.
14,"अथ चुम्बकत्रच्छूक्त लें। हस्यापम मण्डलम् । 
खौलत्य तद्दशात् खेटा अपि ते प्रचलन्ति हि ॥ २६१ ॥","""Moreover, with a magnetic needle or an iron piece, when attached to a floating wooden raft, it moves according to the direction of the compass. Similarly, even the planets move in the same way due to their attachment to the Earth's magnetic field",4th/5th Century CE,"Magnetic needle, compass, planetary motion",Analogizing planetary motion to a compass needle,Relationship between Earth's magnetism and planetary movement,Magnetic field influence on planetary orbits,Understanding planetary motion in relation to Earth's magnetism, This shloka correlates with NEP 2023's emphasis on teaching fundamental principles of magnetism in science education.
15,"चलांशगत्या चलितं भचक्रं लोहापटत्तं तु यदा तदाऽत्र । 
चलो ग्रहों नैव तु तद्वशेन खकचिकायां तदयागतेा हि ॥ २८० ॥","When the celestial wheel, moving due to its own motion, approaches the fixed celestial pole, it is said, 'The planets do not move, but it is the wheel that comes towards them",4th/5th Century CE,"Celestial wheel, planetary motion, celestial pole",Explanation of apparent planetary motion,Understanding the motion of celestial objects,Explanation for the appearance of planetary motion,Perspective on the movement of celestial objects,This shloka correlates with NEP 2023's emphasis on teaching the interconnectedness of celestial bodies and the influence of external forces in astronomy education.
16,"लोहापटत्तं तु कदम्बकाभ्यां सुदूरगं चापि खगं यथाऽधः ।
 स्पष्टक्रियागोलयुतं त्वदुक्त्या ध्रुवानुरोधभ्रमणाविरोधात् ॥ २८८ ॥","Even when an iron piece is far away from the magnetic stone (Earth) or even when a bird is below, it moves towards it. In the same way, as you mentioned clearly, the planets move due to the Earth's magnetic pull, and there is no contradiction in this.",4th/5th Century CE,"Iron piece, bird, magnetic stone, Earth's magnetism",Explanation for objects being attracted to Earth,Relationship between Earth's magnetism and planetary motion,Magnetic pull and its effect on objects,Correlation between magnetic attraction and planetary movement,This shloka correlates with NEP 2023's emphasis on teaching observational analogies in astronomy to enhance conceptual understanding.
17,किञ्च नीलायसो गोलो निबद्धः प्रबहाद्यथा । तथैव खेटगोलाश्च बज्रास्त्वद्रीतितः किल ॥ २८७॥,"Just as a blue stone is attached to a rope and whirled around, similarly, it is believed that the planetary spheres are attached to the Earth's magnetic field.",4th/5th Century CE,"Blue stone, rope, planetary spheres",Analogizing planetary spheres to a blue stone on a rope,Relationship between Earth's magnetism and planetary orbits,Magnetic field and its influence on planetary spheres,Connection between magnetic attraction and planetary motion,This shloka correlates with NEP 2023's emphasis on teaching the scientific understanding of Earth's shape and geophysical principles.
18,ग्रह-माणविष्कम्भयोजनानि व्यासार्धेन हतानि स्फुटयोजनकणार्धेन विभजेल्लब्धं स्फुटग्रहप्रमाणव्यास कला ( १ ) इति । अत्र कर्णशब्देन व्यास इति प्राचीनानामाम्नायः ।,"The angular distances (Yojanas) of the planets and the moon are calculated by dividing the sum of their radii (Vyasa) by two. This result corresponds to the angular diameter of the celestial bodies in Kalas. The term ""Karna"" here refers to the radius, as per ancient tradition.",4th/5th Century CE,"Celestial measurements, geometry",Computation of celestial measurements,Correlates with ancient methods,"Geometry, celestial calculations",Ancient calculation methods,This shloka correlates with NEP 2023's emphasis on teaching historical methods of astronomical calculations and terminologies.
19," अस्मिन् गोलेऽवनिव्यच देशोक्तपरिधेर्बुधैः ।
 समसूत्रेण परिधिर्विषुवन्मण्डलं मतम् ॥ २६३ ॥
  "," In this sphere, within the fixed boundaries as described by the scholars, the equatorial circle is considered as the circumference of the equator by a single cord.",4th/5th Century CE,"Celestial regions, geometry",Concept of celestial regions,Aligns with astronomical coordinate systems,"equatorial circle,Celestial regions",Celestial region description,This shloka correlates with NEP 2023's emphasis on teaching the limits of observational knowledge and encouraging curiosity about the unknown in astronomy education.
20,"विषुवेऽर्थान्तरे लग्नं तन्मध्ये दक्षिणोत्तरे ।
 ततो जिनांश ऊर्ध्वाधस्तत् स्थिरं क्रान्तिमण्डलम् ॥ २६३ ॥
","In the center of this circle, there is a point known as the intersection of the equator and the meridian. From there, the fixed zodiacal circle extends both upward and downward.",4th/5th Century CE,"Celestial alignment, geometry",Alignment of celestial objects,Aligns with positional astronomy,"Celestial alignment, intersection of the equator and meridian",Alignment of celestial objects,This shloka correlates with NEP 2023's emphasis on studying ancient astronomical terms and encouraging the exploration of ancient texts for symbolic meanings.
21,". श्रस्मिन् हत्ते लोहनं क्रान्तिवृत्तं खाग्रप्रोतखखनक्षत्रविम्वैः । 
चापाकारैर्लोहवत्रैः खनेम्यां प्रोतं कृत्वा कोऽकरोत् सक्तमात्रम् ॥२६४॥
","When the circumference of the equator is divided into equal parts by the constellations of the lunar zodiac, each part is divided into smaller sections like pieces of iron in an arch shape. Who made them attached only by a single nail?",4th/5th Century CE,"Celestial motion, magnetism",Explanation of celestial motion,Aligns with ancient understanding,"Celestial motion, Division of the equator based on lunar zodiac constellations",Understanding of celestial motion,This shloka correlates with NEP 2023's emphasis on teaching ancient astronomical terminology and encouraging critical interpretation of ancient texts.
22,"अयोगोलमध्य स्थितव्योम गोले स्वधौकल्पिताः सप्त गोला अथैषु । 
महापिण्डरूपेष्वजाद्ये कसूत्रे महद्वृत्तलग्ने ग्रहा गोलरूपाः ॥ २६६ ॥
","In the middle of the boundless space within the celestial sphere, seven imaginary spheres are envisioned. These large spherical shapes represent the celestial bodies and are described in great scriptures.",4th/5th Century CE,"Celestial spheres, geometry",Explanation of celestial spheres,Aligns with ancient celestial models,"Celestial spheres, imaginary spheres",Understanding celestial spheres,This shloka correlates with NEP 2023's encouragement to explore historical models of the cosmos.
23,"शनीन्यार सूर्यास्फुजिज्ज्ञेन्दुसंज्ञा अधोऽधः क्रमाद्दह्मणा केन्द्रयोगात् । 
निविष्टाः कृता बाह्यमध्यस्य वायोवाल्लोहगोलः पराशोन्मुखं सः ॥ २६७ ॥
 ","Saturn, the Sun, the Moon, and other luminous planets, due to their unique positions and mutual interactions, move in a circular path. Entering this circle, they revolve around the central point, like the rings of a chain. Saturn is placed outside, while the inner sphere is occupied by air and the central sphere is made of iron.",4th/5th Century CE,"Celestial objects, astronomy",Explanation of celestial objects,Aligns with ancient astronomy,"Celestial objects, planetary orbits",Understanding celestial objects,This shloka correlates with NEP 2023's encouragement to explore historical planetary concepts and their positional relationships.
24,". भ्रमत्यार्क्षवारे सदा लोइजात-
वृत्तेन सार्धं ग्रहा मध्यवायोः ।
जत्राघाततः पश्चिमाशोन्मुखं ते
म्बमन्त्येव सार्धं तथाऽपीन्द्रकाष्ठाम् ॥ २६८ ॥
","In the celestial sphere, the planets always move in a circular path with half of their orbits between the western and eastern directions. Where they appear to touch the western boundary, they disappear and similarly reappear near the eastern boundary, like the stars in the tail of a fish.",4th/5th Century CE,"Celestial motion, reference points",Explanation of celestial motion,Aligns with celestial mechanics,"Celestial motion, reference points",Understanding celestial motion,This shloka correlates with NEP 2023's emphasis on studying ancient astronomical terminology and encouraging the exploration of historical concepts.
25,". इत्यादि खस्थाम्बरगोलरूपं
स्वकल्पितं खीयकृतौ वदन्ति ।
ब्रह्मार्कचन्द्रादिमुनीश्वराणां
गुरोर्विरोधोद्भवबुद्धिमोहात् ॥ २६६ ॥
","The scholars with their distorted understanding have imagined a spherical Earth, whereas the great sages like Brahma, Arka (Sun), Chandra (Moon), and others have contradicted this misconception. This is due to the confusion and delusion of their intellect.",4th/5th Century CE,"Celestial models, geometry",Explanation of celestial models,Aligns with ancient celestial models,"Celestial models, spherical Earth",Understanding celestial models,This shloka correlates with NEP 2023's encouragement to explore historical cosmological concepts and the blending of myth and science.
26,"तन्नैव सद्यतो नीलत्वान्यथाऽनुपपत्तितः ।
स्वीकृतो लोहगोलोऽयमन्यथा कर्त्तुमुत्सुकैः ॥२७०॥
","The Earth being blue is not immediately evident, and it is unreasonable to assume otherwise. This spherical Earth made of iron is accepted as such, and it cannot be otherwise, despite the desires of some.",4th/5th Century CE,"Celestial models, explanation",Explanation of celestial models,Aligns with ancient celestial models,"Celestial models, explanation",Understanding celestial models,This shloka correlates with NEP 2023's encouragement to explore historical metaphorical interpretations and symbolic representations.
27,"प्रसिद्धचण्डांशुकर प्रतप्त-
लोहोगावाग्नेर्दहनखभावात् ।
","Due to the intense heat and the burning nature of the fire emanating from the well-known solar region, the Earth's surface appears ashy.",4th/5th Century CE,"Celestial bodies, terminology",Explanation of celestial bodies,Aligns with celestial terminology,"Celestial bodies, solar heat",Understanding celestial terminology, This shloka correlates with NEP 2023's emphasis on exploring the historical blend of mythology and astronomy.
28,"तदद्भ्यसद्यद्ध्रुवमं प्रसिद्धं प्रत्यचतवद्धि चलं नृदृष्टम् ।
(१)भ्रुवानुरोधात् परदिग्भ्रमेण गोलखरूपाकृतिरञ्जथाङ्गः ॥ ३७३ ॥
","However, the famous fixed Pole Star, which is visible to the naked eye, is an exception, as it appears to move due to its proximity to the celestial pole. It is like the motion of the Sun and Moon due to the Earth's rotation.",4th/5th Century CE,"Celestial terminology, geometry",Explanation of celestial terminology,Aligns with ancient celestial terminology,"Celestial terminology, geometry",Understanding celestial terminology,This shloka correlates with NEP 2023's emphasis on studying historical observational errors and metaphorical interpretations in astronomy.
29,"आकाशगोलः प्रवहः परेश- विनिर्गतोऽन्यभ्रमणार्थमस्ति ।
कार्यं त्वनेनैव च लोहकत्वं
किं गौरवात् तेन कृतं त्वपूर्वम् ॥ ३७३ ॥
",The apparent motion of the celestial sphere is for the sake of other heavenly bodies. The purpose of attributing a spherical shape to it is to explain celestial phenomena. This concept of a celestial sphere made of iron is not new; it has been established previously.,4th/5th Century CE,"Celestial spheres, terminology",Explanation of celestial spheres,Aligns with celestial terminology,"Celestial spheres, terminology",Understanding celestial spheres,This shloka correlates with NEP 2023's emphasis on exploring historical conceptual interpretations of the celestial sphere.
30,"ग्रह-माणविष्कम्भयोजनानि व्यासार्धेन हतानि स्फुटयोजनकणार्धेन विभजेल्लब्धं स्फुटग्रहप्रमाणव्यास कला ( १ ) इति । अत्र कर्णशब्देन व्यास इति प्राचीनानामाम्नायः ।
","The angular distances (Yojanas) of the planets and the moon are calculated by dividing the sum of their radii (Vyasa) by two. This result corresponds to the angular diameter of the celestial bodies in Kalas. The term ""Karna"" here refers to the radius, as per ancient tradition.",4th/5th Century CE,"Geometry, Measurement","Ancient Units, Geometric Precision",Emphasis on geometry and measurement of celestial bodies,Ancient focus on geometry; modern methods involve advanced mathematical precision.,"Geometry, Measurement, Astronomy, Ancient Wisdom",This shloka correlates with NEP 2023's emphasis on exploring historical mathematical methodologies in astronomy.
31,"अस्मिन् गोलेऽवनिव्यच देशोक्तपरिधेर्बुधैः । समसूत्रेण परिधिर्विषुवन्मण्डलं मतम् ॥ २६३ ॥
 "," In this sphere, within the fixed boundaries as described by the scholars, the equatorial circle is considered as the circumference of the equator by a single cord.",4th/5th Century CE,"Spherical Geometry, Planetary Orbits","Planetary Positions, Celestial Spheres","Spherical Celestial Bodies, Orbital Motion","planetary positions, understanding spherical celestial bodies, and orbital motion.","Spherical Geometry, Planetary Orbits",This shloka correlates with NEP 2023's emphasis on exploring historical conceptual interpretations of the celestial sphere.
32," विषुवेऽर्थान्तरे लग्नं तन्मध्ये दक्षिणोत्तरे । ततो जिनांश ऊर्ध्वाधस्तत् स्थिरं क्रान्तिमण्डलम् ॥ २६३ ॥
","In the center of this circle, there is a point known as the intersection of the equator and the meridian. From there, the fixed zodiacal circle extends both upward and downward.",4th/5th Century CE,"Lagna, Planetary Movements",Planetary Positions Relative to Lagna,"Planetary Motions, Celestial Alignments","Planetary Positions, Lagna, Celestial Alignments,comprehensive positional observations.","Planetary Movements, Celestial Alignments",This shloka correlates with NEP 2023's encouragement to explore historical celestial concepts and their symbolic meanings.
33,"श्रस्मिन् हत्ते लोहनं क्रान्तिवृत्तं खाग्रप्रोतखखनक्षत्रविम्वैः । चापाकारैर्लोहवत्रैः खनेम्यां प्रोतं कृत्वा कोऽकरोत् सक्तमात्रम् ॥२६४॥
","When the circumference of the equator is divided into equal parts by the constellations of the lunar zodiac, each part is divided into smaller sections like pieces of iron in an arch shape. Who made them attached only by a single nail?",4th/5th Century CE,"Celestial Events, Geometric Analysis","Impact on Celestial Bodies, Astronomical Phenomena","Celestial Events Analysis, Astronomical Patterns","Celestial Events, Geometry Impact, Astronomical Patterns","Celestial Events, Astronomical Phenomena, Geometry",This shloka correlates with NEP 2023's encouragement to explore historical metaphorical interpretations and symbolic representations in astronomy.
34,"विषुवत्कान्तिवृत्तैक्यात् पूर्वभागस्थितात् स्थिराः । मेषाद्या राशयः क्रान्तिष्टत्तयोः पूर्वदिक्क्रमातृ ॥२६५॥
   ","Due to the unity of the vernal equinoctial circle and the zodiacal circle, the zodiac signs starting from Aries move successively in the eastward direction.",4th/5th Century CE,"Planetary Motions, Zodiac Cycles","Zodiac Signs, Planetary Movements","Planetary Motions in Zodiac, Celestial Rhythms","Planetary Motions, Zodiac Signs, Celestial Cycles","Planetary Motions, Zodiac Signs, Celestial Rhythms",This shloka correlates with NEP 2023's emphasis on exploring historical conceptual interpretations and symbolic meanings in astronomy.
35,"अयोगोलमध्य स्थितव्योम गोले स्वधौकल्पिताः सप्त गोला अथैषु । महापिण्डरूपेष्वजाद्ये कसूत्रे महद्वृत्तलग्ने ग्रहा गोलरूपाः ॥ २६६ ॥
","In the middle of the boundless space within the celestial sphere, seven imaginary spheres are envisioned. These large spherical shapes represent the celestial bodies and are described in great scriptures.",4th/5th Century CE,"Celestial Bodies, Geometric Shapes","Celestial Bodies Description, Geometric Forms","Celestial Bodies Description, Geometric Patterns","Celestial Bodies, Geometry, Forms","Celestial Bodies, Geometric Shapes","This shloka correlates with NEP 2023's emphasis on exploring historical metaphorical interpretations and symbolic representations in astronomy.


"
36,"शनीन्यार सूर्यास्फुजिज्ज्ञेन्दुसंज्ञा अधोऽधः क्रमाद्दह्मणा केन्द्रयोगात् । निविष्टाः कृता बाह्यमध्यस्य वायोवाल्लोहगोलः पराशोन्मुखं सः ॥ २६७ ॥
 ","Saturn, the Sun, the Moon, and other luminous planets, due to their unique positions and mutual interactions, move in a circular path. Entering this circle, they revolve around the central point, like the rings of a chain. Saturn is placed outside, while the inner sphere is occupied by air and the central sphere is made of iron.",4th/5th Century CE,"Planetary Alignment, Celestial Positions","Planetary Positions, Alignment, Celestial Events","Planetary Alignment Positions, Celestial Configurations","Planetary Alignment, Positions, Celestial Configurations","Planetary Alignment, Celestial Positions",This shloka correlates with NEP 2023 by emphasizing the importance of recognizing celestial configurations and their influence on the cosmic order. It aligns with the NEP's encouragement of exploring traditional knowledge systems in understanding astrophysical phenomena.
37,"भ्रमत्यार्क्षवारे सदा लोइजात-
वृत्तेन सार्धं ग्रहा मध्यवायोः ।
जत्राघाततः पश्चिमाशोन्मुखं ते
म्बमन्त्येव सार्धं तथाऽपीन्द्रकाष्ठाम् ॥ २६८ ॥
","In the celestial sphere, the planets always move in a circular path with half of their orbits between the western and eastern directions. Where they appear to touch the western boundary, they disappear and similarly reappear near the eastern boundary, like the stars in the tail of a fish.",4th/5th Century CE,"Celestial Observations, Analytical Insights","Celestial Observations Description, Analytical Interpretation","Celestial Observations Analysis, Astronomical Understanding","Celestial Observations Analysis, Astronomy","Celestial Observations, Analytical Insights","This shloka correlates with NEP 2023 by highlighting the dynamic and interconnected nature of celestial bodies, aligning with the NEP's emphasis on holistic and integrated approaches to studying astrophysics."
38,"इत्यादि खस्थाम्बरगोलरूपं
स्वकल्पितं खीयकृतौ वदन्ति ।
ब्रह्मार्कचन्द्रादिमुनीश्वराणां
गुरोर्विरोधोद्भवबुद्धिमोहात् ॥ २६६ ॥
","The scholars with their distorted understanding have imagined a spherical Earth, whereas the great sages like Brahma, Arka (Sun), Chandra (Moon), and others have contradicted this misconception. This is due to the confusion and delusion of their intellect.",4th/5th Century CE,"Celestial Geometry, Abstract Notions","Celestial Geometry Description, Conceptual Understanding","Celestial Geometry Concepts, Philosophical Interpretations","Celestial Geometry Concepts, Abstract Ideas","Celestial Geometry, Abstract Concepts","This shloka correlates with NEP 2023 by acknowledging the historical development of celestial models and the importance of considering diverse perspectives in astrophysical research, aligning with NEP's encouragement of critical thinking and diversity."
40,"तन्नैव सद्यतो नीलत्वान्यथाऽनुपपत्तितः ।
स्वीकृतो लोहगोलोऽयमन्यथा कर्त्तुमुत्सुकैः ॥२७०॥
","The Earth being blue is not immediately evident, and it is unreasonable to assume otherwise. This spherical Earth made of iron is accepted as such, and it cannot be otherwise, despite the desires of some.",4th/5th Century CE,"Celestial Color, Descriptive Analysis","Celestial Color Characteristics, Color Representation",Describing Celestial Colors with Astronomical Significance,Descriptive Analysis of Celestial Colors,Astronomical Significance of Celestial Colors,This shloka correlates with NEP 2023 by highlighting the importance of empirical observations in astrophysics. It aligns with NEP's encouragement of scientific inquiry and reliance on evidence-based interpretations of celestial phenomena.
41," प्रसिद्धचण्डांशुकर प्रतप्त-
लोहोगावाग्नेर्दहनखभावात् ।
","Due to the intense heat and the burning nature of the fire emanating from the well-known solar region, the Earth's surface appears ashy.",4th/5th Century CE,Descriptive Accounts of Celestial Events,Historical Documentation of Celestial Events,Analyzing Celestial Events in Historical Context,Descriptive Analysis of Celestial Events,Historical Accounts of Celestial Events,"This shloka correlates with NEP 2023 by highlighting the significance of understanding celestial bodies' compositions, aligning with NEP's emphasis on empirical observations and material analysis in astrophysics."
42," तदद्भ्यसद्यद्ध्रुवमं प्रसिद्धं प्रत्यचतवद्धि चलं नृदृष्टम् ।
(१)भ्रुवानुरोधात् परदिग्भ्रमेण गोलखरूपाकृतिरञ्जथाङ्गः ॥ ३७३ ॥
","However, the famous fixed Pole Star, which is visible to the naked eye, is an exception, as it appears to move due to its proximity to the celestial pole. It is like the motion of the Sun and Moon due to the Earth's rotation.",4th/5th Century CE,Patterns in Celestial Bodies' Motion,Describing Motion Patterns of Celestial Bodies,Analyzing Motion Patterns of Celestial Bodies,Motion Patterns of Celestial Bodies,Dynamic Analysis of Celestial Bodies' Motion,"This shloka correlates with NEP 2023 by highlighting the importance of recognizing apparent motion in the cosmos, aligning with NEP's emphasis on observational skills and understanding celestial dynamics."
43,"आकाशगोलः प्रवहः परेश- विनिर्गतोऽन्यभ्रमणार्थमस्ति ।
कार्यं त्वनेनैव च लोहकत्वं
किं गौरवात् तेन कृतं त्वपूर्वम् ॥ ३७३ ॥
",The apparent motion of the celestial sphere is for the sake of other heavenly bodies. The purpose of attributing a spherical shape to it is to explain celestial phenomena. This concept of a celestial sphere made of iron is not new; it has been established previously.,4th/5th Century CE,Overview of Space and Celestial Bodies,Describing Space and Celestial Bodies in Ancient Texts,Conceptualizing Space and Celestial Bodies in Ancient Astronomy,Overview of Space and Celestial Bodies,Cosmic Landscape in Ancient Texts,"This shloka correlates with NEP 2023 by encouraging critical inquiry into traditional beliefs about celestial bodies, aligning with NEP's emphasis on fostering questioning and reasoning skills in astrophysics."
44,"भृगुजस्य च सप्ताग्निरसाधिरसषड्यमाः । सितज्ञेन्द्रञ्चसंसिद्धेः सौरे तत्कचिकोदिता ॥ २२१ ॥
","The seven fires of Bhrgu (Venus) are a mixture, and there are six fires for Sita (Jupiter). The other Surya (Sun), Kashyapa (Mars), and the two lunar phases (Amavasya and Purnima) are of a similar kind.",4th/5th Century CE,"Celestial Fires, Bhrgu (Venus)","Mixture of Fires, Sita (Jupiter)",Astrological Aspects,Correlation of Fires,"Astrological Interpretation, Celestial Fires","This shloka correlates with NEP 2023 by emphasizing the scholarly understanding of celestial bodies and their relationships, aligning with NEP's encouragement of comprehensive knowledge in astrophysics."
